sample_id,species,individual_id,replicate_id,condition,timepoint,assay,measurement,value,unit,perturbation,dose,dose_unit,recovery_time,batch,plate_id,well_id,file,notes
pheno_mouse_response_index,Mus_musculus,mouse_001,rep1,control,0h,generic_growth,response_index,1.0,ratio,,,,,batch1,plate1,A01,data/phenotype/mouse_response.tsv,example phenotype row
pheno_fish_response_index,Danio_rerio,fish_001,rep1,control,0h,generic_growth,response_index,0.8,ratio,,,,,batch1,plate1,A02,data/phenotype/fish_response.tsv,example phenotype row
pheno_mouse_generic_baseline_a,Mus_musculus,mouse_001,rep1,baseline,t0,generic_profile,component_a,1.4,ratio,,,,,batch1,plate1,B01,,generic profile component
pheno_mouse_generic_baseline_b,Mus_musculus,mouse_001,rep1,baseline,t0,generic_profile,component_b,0.2,ratio,,,,,batch1,plate1,B02,,generic profile component
pheno_mouse_generic_baseline_c,Mus_musculus,mouse_001,rep1,baseline,t0,generic_profile,component_c,1.0,ratio,,,,,batch1,plate1,B03,,generic profile component
pheno_mouse_generic_response_a,Mus_musculus,mouse_001,rep1,response,t1,generic_profile,component_a,1.8,ratio,,,,,batch1,plate1,B04,,generic profile component
pheno_mouse_generic_response_b,Mus_musculus,mouse_001,rep1,response,t1,generic_profile,component_b,0.3,ratio,,,,,batch1,plate1,B05,,generic profile component
pheno_mouse_generic_response_c,Mus_musculus,mouse_001,rep1,response,t1,generic_profile,component_c,1.0,ratio,,,,,batch1,plate1,B06,,generic profile component
pheno_fish_generic_baseline_a,Danio_rerio,fish_001,rep1,baseline,t0,generic_profile,component_a,1.1,ratio,,,,,batch1,plate1,B07,,generic profile component
pheno_fish_generic_baseline_b,Danio_rerio,fish_001,rep1,baseline,t0,generic_profile,component_b,0.3,ratio,,,,,batch1,plate1,B08,,generic profile component
pheno_fish_generic_baseline_c,Danio_rerio,fish_001,rep1,baseline,t0,generic_profile,component_c,0.9,ratio,,,,,batch1,plate1,B09,,generic profile component
pheno_fish_generic_response_a,Danio_rerio,fish_001,rep1,response,t1,generic_profile,component_a,1.6,ratio,,,,,batch1,plate1,B10,,generic profile component
pheno_fish_generic_response_b,Danio_rerio,fish_001,rep1,response,t1,generic_profile,component_b,0.2,ratio,,,,,batch1,plate1,B11,,generic profile component
pheno_fish_generic_response_c,Danio_rerio,fish_001,rep1,response,t1,generic_profile,component_c,1.0,ratio,,,,,batch1,plate1,B12,,generic profile component
pheno_chicken_generic_baseline_a,Gallus_gallus,chicken_001,rep1,baseline,t0,generic_profile,component_a,1.3,ratio,,,,,batch1,plate1,B13,,generic profile component
pheno_chicken_generic_baseline_b,Gallus_gallus,chicken_001,rep1,baseline,t0,generic_profile,component_b,0.25,ratio,,,,,batch1,plate1,B14,,generic profile component
pheno_chicken_generic_baseline_c,Gallus_gallus,chicken_001,rep1,baseline,t0,generic_profile,component_c,1.1,ratio,,,,,batch1,plate1,B15,,generic profile component
pheno_chicken_generic_response_a,Gallus_gallus,chicken_001,rep1,response,t1,generic_profile,component_a,1.7,ratio,,,,,batch1,plate1,B16,,generic profile component
pheno_chicken_generic_response_b,Gallus_gallus,chicken_001,rep1,response,t1,generic_profile,component_b,0.25,ratio,,,,,batch1,plate1,B17,,generic profile component
pheno_chicken_generic_response_c,Gallus_gallus,chicken_001,rep1,response,t1,generic_profile,component_c,1.1,ratio,,,,,batch1,plate1,B18,,generic profile component
pheno_xenopus_generic_baseline_a,Xenopus_tropicalis,xenopus_001,rep1,baseline,t0,generic_profile,component_a,1.0,ratio,,,,,batch1,plate1,B19,,generic profile component
pheno_xenopus_generic_baseline_b,Xenopus_tropicalis,xenopus_001,rep1,baseline,t0,generic_profile,component_b,0.2,ratio,,,,,batch1,plate1,B20,,generic profile component
pheno_xenopus_generic_baseline_c,Xenopus_tropicalis,xenopus_001,rep1,baseline,t0,generic_profile,component_c,0.8,ratio,,,,,batch1,plate1,B21,,generic profile component
pheno_xenopus_generic_response_a,Xenopus_tropicalis,xenopus_001,rep1,response,t1,generic_profile,component_a,1.4,ratio,,,,,batch1,plate1,B22,,generic profile component
pheno_xenopus_generic_response_b,Xenopus_tropicalis,xenopus_001,rep1,response,t1,generic_profile,component_b,0.25,ratio,,,,,batch1,plate1,B23,,generic profile component
pheno_xenopus_generic_response_c,Xenopus_tropicalis,xenopus_001,rep1,response,t1,generic_profile,component_c,0.9,ratio,,,,,batch1,plate1,B24,,generic profile component
pheno_mouse_ddr_control_viability,Mus_musculus,mouse_001,rep1,control,0h,ddr_response,viability,1.0,ratio,,,,,batch1,plate1,C01,,DDR/RoR example component
pheno_mouse_ddr_control_apoptosis,Mus_musculus,mouse_001,rep1,control,0h,ddr_response,apoptosis,0.1,ratio,,,,,batch1,plate1,C02,,DDR/RoR example component
pheno_mouse_ddr_control_senescence,Mus_musculus,mouse_001,rep1,control,0h,ddr_response,senescence,0.1,ratio,,,,,batch1,plate1,C03,,DDR/RoR example component
pheno_mouse_ddr_damage_viability,Mus_musculus,mouse_001,rep1,damage,24h,ddr_response,viability,0.7,ratio,,,,,batch1,plate1,C04,,DDR/RoR example component
pheno_mouse_ddr_damage_apoptosis,Mus_musculus,mouse_001,rep1,damage,24h,ddr_response,apoptosis,0.2,ratio,,,,,batch1,plate1,C05,,DDR/RoR example component
pheno_mouse_ddr_damage_senescence,Mus_musculus,mouse_001,rep1,damage,24h,ddr_response,senescence,0.1,ratio,,,,,batch1,plate1,C06,,DDR/RoR example component
pheno_fish_ddr_control_viability,Danio_rerio,fish_001,rep1,control,0h,ddr_response,viability,0.9,ratio,,,,,batch1,plate1,C07,,DDR/RoR example component
pheno_fish_ddr_control_apoptosis,Danio_rerio,fish_001,rep1,control,0h,ddr_response,apoptosis,0.1,ratio,,,,,batch1,plate1,C08,,DDR/RoR example component
pheno_fish_ddr_control_senescence,Danio_rerio,fish_001,rep1,control,0h,ddr_response,senescence,0.1,ratio,,,,,batch1,plate1,C09,,DDR/RoR example component
pheno_fish_ddr_damage_viability,Danio_rerio,fish_001,rep1,damage,24h,ddr_response,viability,0.8,ratio,,,,,batch1,plate1,C10,,DDR/RoR example component
pheno_fish_ddr_damage_apoptosis,Danio_rerio,fish_001,rep1,damage,24h,ddr_response,apoptosis,0.1,ratio,,,,,batch1,plate1,C11,,DDR/RoR example component
