sample_id,species,individual_id,replicate_id,condition,timepoint,assay,measurement,value,unit,perturbation,dose,dose_unit,recovery_time,batch,plate_id,well_id,file,notes
immune_mouse_base_clearance,Mus_musculus,mouse_001,rep1,unexposed,0h,immune_response,pathogen_clearance,0.20,ratio,,,,,profile_examples,plate1,A01,,immune response template
immune_mouse_base_cytokine,Mus_musculus,mouse_001,rep1,unexposed,0h,immune_response,cytokine_signal,0.10,ratio,,,,,profile_examples,plate1,A02,,immune response template
immune_mouse_base_damage,Mus_musculus,mouse_001,rep1,unexposed,0h,immune_response,tissue_damage,0.05,ratio,,,,,profile_examples,plate1,A03,,immune response template
immune_mouse_base_inflammation,Mus_musculus,mouse_001,rep1,unexposed,0h,immune_response,inflammation_baseline,0.60,ratio,,,,,profile_examples,plate1,A04,,immune response template
immune_mouse_resp_clearance,Mus_musculus,mouse_001,rep1,immune_challenge,24h,immune_response,pathogen_clearance,0.80,ratio,,,,,profile_examples,plate1,A05,,immune response template
immune_mouse_resp_cytokine,Mus_musculus,mouse_001,rep1,immune_challenge,24h,immune_response,cytokine_signal,0.70,ratio,,,,,profile_examples,plate1,A06,,immune response template
immune_mouse_resp_damage,Mus_musculus,mouse_001,rep1,immune_challenge,24h,immune_response,tissue_damage,0.25,ratio,,,,,profile_examples,plate1,A07,,immune response template
immune_mouse_resp_inflammation,Mus_musculus,mouse_001,rep1,immune_challenge,24h,immune_response,inflammation_baseline,0.65,ratio,,,,,profile_examples,plate1,A08,,immune response template
immune_fish_base_clearance,Danio_rerio,fish_001,rep1,unexposed,0h,immune_response,pathogen_clearance,0.15,ratio,,,,,profile_examples,plate1,A09,,immune response template
immune_fish_base_cytokine,Danio_rerio,fish_001,rep1,unexposed,0h,immune_response,cytokine_signal,0.12,ratio,,,,,profile_examples,plate1,A10,,immune response template
immune_fish_base_damage,Danio_rerio,fish_001,rep1,unexposed,0h,immune_response,tissue_damage,0.04,ratio,,,,,profile_examples,plate1,A11,,immune response template
immune_fish_base_inflammation,Danio_rerio,fish_001,rep1,unexposed,0h,immune_response,inflammation_baseline,0.55,ratio,,,,,profile_examples,plate1,A12,,immune response template
immune_fish_resp_clearance,Danio_rerio,fish_001,rep1,immune_challenge,24h,immune_response,pathogen_clearance,0.72,ratio,,,,,profile_examples,plate1,A13,,immune response template
immune_fish_resp_cytokine,Danio_rerio,fish_001,rep1,immune_challenge,24h,immune_response,cytokine_signal,0.58,ratio,,,,,profile_examples,plate1,A14,,immune response template
immune_fish_resp_damage,Danio_rerio,fish_001,rep1,immune_challenge,24h,immune_response,tissue_damage,0.20,ratio,,,,,profile_examples,plate1,A15,,immune response template
immune_fish_resp_inflammation,Danio_rerio,fish_001,rep1,immune_challenge,24h,immune_response,inflammation_baseline,0.60,ratio,,,,,profile_examples,plate1,A16,,immune response template
immune_chicken_base_clearance,Gallus_gallus,chicken_001,rep1,unexposed,0h,immune_response,pathogen_clearance,0.18,ratio,,,,,profile_examples,plate1,A17,,immune response template
immune_chicken_base_cytokine,Gallus_gallus,chicken_001,rep1,unexposed,0h,immune_response,cytokine_signal,0.11,ratio,,,,,profile_examples,plate1,A18,,immune response template
immune_chicken_base_damage,Gallus_gallus,chicken_001,rep1,unexposed,0h,immune_response,tissue_damage,0.05,ratio,,,,,profile_examples,plate1,A19,,immune response template
immune_chicken_base_inflammation,Gallus_gallus,chicken_001,rep1,unexposed,0h,immune_response,inflammation_baseline,0.58,ratio,,,,,profile_examples,plate1,A20,,immune response template
immune_chicken_resp_clearance,Gallus_gallus,chicken_001,rep1,immune_challenge,24h,immune_response,pathogen_clearance,0.76,ratio,,,,,profile_examples,plate1,A21,,immune response template
immune_chicken_resp_cytokine,Gallus_gallus,chicken_001,rep1,immune_challenge,24h,immune_response,cytokine_signal,0.62,ratio,,,,,profile_examples,plate1,A22,,immune response template
immune_chicken_resp_damage,Gallus_gallus,chicken_001,rep1,immune_challenge,24h,immune_response,tissue_damage,0.24,ratio,,,,,profile_examples,plate1,A23,,immune response template
immune_chicken_resp_inflammation,Gallus_gallus,chicken_001,rep1,immune_challenge,24h,immune_response,inflammation_baseline,0.66,ratio,,,,,profile_examples,plate1,A24,,immune response template
immune_xenopus_base_clearance,Xenopus_tropicalis,xenopus_001,rep1,unexposed,0h,immune_response,pathogen_clearance,0.12,ratio,,,,,profile_examples,plate1,A25,,immune response template
immune_xenopus_base_cytokine,Xenopus_tropicalis,xenopus_001,rep1,unexposed,0h,immune_response,cytokine_signal,0.09,ratio,,,,,profile_examples,plate1,A26,,immune response template
immune_xenopus_base_damage,Xenopus_tropicalis,xenopus_001,rep1,unexposed,0h,immune_response,tissue_damage,0.03,ratio,,,,,profile_examples,plate1,A27,,immune response template
immune_xenopus_base_inflammation,Xenopus_tropicalis,xenopus_001,rep1,unexposed,0h,immune_response,inflammation_baseline,0.50,ratio,,,,,profile_examples,plate1,A28,,immune response template
immune_xenopus_resp_clearance,Xenopus_tropicalis,xenopus_001,rep1,immune_challenge,24h,immune_response,pathogen_clearance,0.65,ratio,,,,,profile_examples,plate1,A29,,immune response template
